team_name, city
Arsenal, London
Aston Villa, Birmingham
Brighton & Hove Albion, Brighton
Burnley, Burnley
Chelsea, London
Crystal Palace, London
Everton, Liverpool
Fulham, London
Leeds United, Leeds
Leicester City, Leicester
Liverpool, Liverpool
Manchester City, Machester
Manchester United, Manchester
Newcastle United, Newcastle
Sheffield United, Sheffield
Southampton, Southampton
Tottenham Hotspur, London
West Bromwich Albion, West Bromwich
West Ham United, London
Wolverhampton Wanderers, Wolverhampton
